advantage,classify_name,company,info,job_name,money,requirements
['税后薪资'],Java,凡顶科技,"['25k-36k ', '/深圳 /', '经验5-10年 /', '大专及以上 /', '全职']",高级JAVA工程师,25k-36k,"['岗位职责：\xa0', '• 负责业务的需求承接、设计、研发工作\xa0', '• 持续改进网站的业务逻辑、系统架构、核心技术等 • 保证系统高性能、高可用性和高可扩展性\xa0', '• 负责相关模块性能分析及改进，保证系统性能和稳定性\xa0', '任职要求：\xa0', '• 三年以上软件设计开发经验，有大型web系统研发者优先\xa0', '• 对Java面向对象软件结构有深入理解以及较强的应用能力\xa0', '• 能够熟练应用J2EE等Web开发技术，熟练掌握Spring等主流的开发框架\xa0', '• 对数据库的基本理论有比较深刻的理解，能够熟练应用oracle或者mysql\xa0', '• 熟练使用Linux系统，掌握常用命令\xa0', '• 对WebService等技术有一定了解\xa0', '• 学习能力强，拥有优秀的逻辑思维能力\xa0', '• 有较好的沟通交流、团队协作能力']"
['可享期权激励。6个月-2年释放完毕'],CTO,科极星球,"['10k-20k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",CTO技术合伙人,10k-20k,"['职位亮点：', '可享3-5%期权激励。6个月-2年释放完毕。', '岗位描述：', '1.本科及以上学历，计算机、软件工程及相关专业；', '2.三年以上互联网开发经验，精通linux系统及在此环境下的软件开发；\xa0', '3.精通Golang、js、c++、Java至少一种编程；', '4.熟悉TCP/IP协议，HTTP协议，p2p网络通信等；', '5.熟悉常用非对称加密算法和哈希算法；', '6.理解各类主流的共识算法，包括不限于PoW，PoS，DPoS，PBFT；', '7.熟悉Bitcoin、Ethereum、IPFS、Hyperledger等开源项目源码结构者优先。', '8. 带领研发团队开展互联网和区块链相关的研发项目。']"
['团队背景优秀，薪资福利待遇好'],架构师,金地,"['45k-60k ', '/深圳 /', '经验应届毕业生 /', '本科及以上 /', '全职']",资深前端/架构师（深圳/杭州/南京）,45k-60k,"['岗位职责：', '1、负责公司官方网站WEB、浏览器内嵌H5、快应用等相关产品的分析设计、开发实现和持续改善；', '2、参与产品分析和规划，完善和优化开发过程；', '3、研究和实践相关技术及实现原理。', '职位要求：', '1、本科及以上学历，5年以上WEB前端开发经验；', '2、精通HTML、CSS、JavaScript、Ajax、jQuery等，熟悉PHP,Java,Python等语言或有Web后端开发经验者优先；', '3、熟悉主流浏览器的兼容性调试，熟悉W3C标准，对表现与动态数据分离有较好的认识，熟悉HTML5，CSS3，及常见Mobile WEB方案或框架；', '4、了解响应式WEB设计和A/B测试，熟悉用户交互设计理论，热衷分析并改善用户体验；', '5、踏实、稳重，责任心较强，有上进心，学习能力较强。']"
['新平台，0-1扁平结构，期权，巴西出差'],技术总监,中加文化传播,"['20K-40K ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",Android 开发技术总监,20K-40K,"['职位职责\xa0', '1.负责公司Android产品框架搭建、关键技术选型、技术难题攻关等工作；\xa0', '2.独立带领团队完成APP客户端与后台研发，测试，上线运营；\xa0', '3.\xa0指导研发工程师进行代码审查、单元测试等工作，提高产品代码质量；\xa0', '4.\xa0对Android安全相关技术的深入研究；\xa0', '5.\xa0根据用户反馈更新迭代产品，不断优化功能、性能;\xa0', '6.了解ios开发。\xa0', '任职资格\xa0', '1、熟练掌握互联网项目开发周期及流程；有成熟互联网公司开发经验；\xa0', '2、三年以上的Android研发经验，有1年以上的带团队开发经验。\xa0', '3、有社交类语音app开发经验，直播软件，移动互联网教育app，互联网+医疗，P2P网贷，世界各国国际信用卡支付等经验优先，有大型复杂系统架构设计经验者优先考虑；\xa0', '4、具备很好的沟通技巧；对互联网事业充满激情；\xa0', '5、全日制大学本科以上学历，硕士优先，计算机、软件工程及相关专业毕业。']"
"['给力薪酬,快速发展,大平台']",自然语言处理,OPPO,"['30k-60k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",NLP算法工程师,30k-60k,"['职责描述：', '1.搜索query处理，包括意图识别、query改写、分词、同义词、实体提取、紧密度、Term重要度等', '2.与query处理对等的文章内容理解', '3.query及文章的语义表示', '4.基于NLP的语义匹配在搜索排序中的应用', '职位要求：', '1.本科或以上学历，计算机相关专业；自然语言处理、机器学习、深度学习等方向优先；', '2.基础扎实，编码过关，熟悉C++；熟悉常用的算法和数据结构；', '3.熟悉Linux 操作系统开发环境；', '4.熟悉常用脚本语言：python、awk、perl等', '5.有大规模分布式计算平台使用经验者优先', '6.有实际搜索研发经验者优先', '工作地点：深圳/北京']"
['银行编制！核心岗位！薪酬福利好'],机器学习,中信银行信用卡中心,"['20k-40k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",数据科学家岗(Spark\机器学习),20k-40k,"['岗位职责：', '1、搭建基于Hadoop/Spark的数据挖掘体系，完善卡中心数据挖掘体系及大数据分析体系；', '2、研究大数据领域前沿数据挖掘技术，并引入相应技术在卡中心的使用。', '3、进行大数据分析、并行算法开发；', '4、负责大型数据挖掘项目方案制定、项目实施落地及优化等；', '5、开展文本挖掘、舆情分析、产品偏好、渠道偏好、定价策略等领域数据挖掘工作；', '6、为团队成员各项工作提供技术及业务指导及协助；', '必要要求：', '1、熟悉分布式计算框架（hadoop、spark、Storm等）及相关经验；', '2、熟练掌握Hive/SQL，掌握Python,R等一种以上常用数据挖掘编程语言；熟悉Python、R相关数值科学计算库（NumPy,SciPy等）；', '3、熟悉常用机器学习算法（如分类、回归、聚类、关联规则等）及其原理，对机器学习、深度学习、集成学习有深入了解；', '4、丰富的机器学习算法（分类器，推荐系统，NLP模型等）应用场景开发项目经验，掌握机器学习应用于实际问题的完整流程。', '5、较强的逻辑思维能力、数据敏感度，擅于利用数据发现问题及解决问题；', '6、自我驱动能力，对新技术有强烈求知欲和学习能力，有较高的外文资料阅读和翻译能力；', '7、较强的沟通表达能力及良好的团队协助能力。', '优先考虑：', '1、3年以上大型数据挖掘项目经验；', '2、2年以上大规模分布式计算平台的使用和并行算法开发及项目实施经验；']"
['五险一金+双休+补助'],深度学习,易诚互动,"['9k-18k ', '/深圳 /', '经验3-5年 /', '本科及以上 /', '全职']",java开发,9k-18k,"['1、本科或以上学历，计算机相关专业，两年（初：两年、中：三年、高：五年）以上java开发经验；', ' \xa0 \xa0 2、熟悉Java语言，理解集合类、io，能够熟练运用Spring/SpringMVC/MyBatis/SpringBoot等框架；', ' \xa0 \xa0 3、熟练使用oracle、Mysql、Redis等存储数据库；熟悉Redis等缓存数据库优先考虑；', ' \xa0 \xa0 4、熟练掌握Java WEB编程，能熟练使用html/js/css/jquery/bootstrap；', ' \xa0 \xa0 5、熟练掌握Tomcat以及 SVN/git的操作使用；', ' \xa0 \xa0 6、 \xa0 熟悉算法、数据结构，有丰富的编程经验，熟练掌握多种设计模式，并能正确运用在实践中；具有良好的编程习惯，如单元测试、代码简洁、注释清晰等；', ' \xa0 \xa0 7、熟悉Linux操作系统，掌握该系统下常用命令和工具的使用，熟悉脚本语言（shell、perl）更佳；', ' \xa0 \xa0 8、善于协作与沟通，热爱技术，不断学习，富有激情，并具备良好的团队合作精神，责任心要强。', ' \xa0 \xa0 9、思维敏捷，有很强的逻辑分析能力，对发现和思考问题充满乐趣，善于对挑战性问题提出合理的见解； \xa0 \xa0']"
['金融证券'],html5,金证股份,"['10k-15k ', '/深圳 /', '经验1-3年 /', '本科及以上 /', '全职']",H5开发,10k-15k,"['工作职责:', '1、 负责移动端APP前端页面开发', '2、 负责网页H5端的页面开发,', '3、 负责android端的原生开发；', '4、 负责整理优化前端基础组件，形成通用的前端组件库； ', '5、 研究和探索创新的开发思路和前沿的前端技术，应用到团队产品中。', '任职资格:', '1、精通Vue.js ，精通移动端网页的开发；', '2、熟悉移动抓包工具，可抓取app请求分析问题', '3、有丰富的移动端页面开发经验，对移动前端的性能优化有一定的理解和相关实践', '4、精通HTML5/JavaScript/CSS3/ajax等Web开发技术；', '5、熟悉安卓系统安全机制，有相关项目开发者优先']"
['高薪期权，弹性工作，租房补贴，过亿用户'],iOS,字节跳动,"['25k-50k ', '/深圳 /', '经验不限 /', '本科及以上 /', '全职']",特效iOS平台研发工程师-抖音短视频,25k-50k,[]
['牛人共事 行业前景好 超强团队'],Android,SHEIN,"['30k-55k ', '/深圳 /', '经验5-10年 /', '本科及以上 /', '全职']",资深Android架构师 (MJ000808),30k-55k,"['Android架构师的老铁，快来快来，看看SHEIN这个不一样的互联网公司~', 'SHEIN国内5000+员工，红杉C轮，目前已经持4年续盈利（2015—2018年），2018破100亿销售额。', '目前2个百万级APP产品（累计1.5亿下载量，活跃海外用户7000W）：可以苹果商店搜索SHEIN\xa0，Romwe下载体验。', '岗位职责：', '1、参与需求评审，评估技术可行性且给予技术方案；', '2、优化Android\xa0app性能，提升用户体验；', '3、定制Android编码规范，编写技术文档；', '4、负责项目架构搭建和维护，负责项目重构和组件化；', '5、参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作；', '6、负责部门内部基础组件开发，为业务部门提供技术支持；', '任职资格：', '1、计算机及相关专业，本科及以上学历；', '2、至少毕业5年以上Android开发工作经验；', '3、扎实的Java／Kotlin编程基础，同时精通使用C，C++等编程语言；', '4、熟悉Android架构，熟悉各底层框架并引用到实际项目中；', '5、精通高性能编程及性能调优，精通一个系列以上的高市场占有率的手机环境；', '6、有实际的独立项目开发经验，能承担独立模块或者项目开发，能承担一定压力；', '7、\xa0有IM方面研究经验优先；', '8、有多媒体视频、直播方面研究经验优先；', '9、有图片处理方面研究经验优先；', '10、有强的学习、沟通及团队协作能力；']"
