ID,学历要求,工作经验,薪资
5771796,硕士,1-3年,10k-20k
5763574,不限,1-3年,28k-30k
5666839,本科,3-5年,10k-20k
5488449,本科,不限,5k-10k
5742124,本科,5-10年,20k-40k
3945445,大专,3-5年,13k-25k
5579043,本科,3-5年,20k-40k
5557634,不限,不限,4k-8k
5448971,本科,5-10年,20k-40k
5151346,本科,3-5年,15k-30k
5391338,本科,3-5年,30k-50k
5529993,本科,3-5年,10k-20k
4983118,本科,1-3年,10k-20k
4044956,本科,1年以下,20k-40k
5380871,本科,3-5年,15k-25k
5380722,本科,1-3年,10k-15k
5534115,本科,1-3年,10k-15k
4996784,本科,3-5年,15k-30k
5688572,本科,1-3年,10k-20k
4385214,本科,3-5年,15k-25k
5500720,本科,3-5年,13k-26k
5319175,本科,1-3年,15k-25k
5294402,本科,3-5年,10k-20k
5501432,本科,3-5年,15k-30k
5529012,本科,3-5年,15k-30k
4224071,本科,3-5年,14k-25k
5399762,本科,3-5年,18k-32k
5591123,本科,5-10年,20k-40k
5390437,本科,3-5年,20k-40k
5620108,本科,3-5年,15k-25k
4584794,本科,3-5年,20k-40k
5579971,本科,3-5年,10k-15k
5708532,本科,1-3年,15k-25k
4535740,本科,5-10年,15k-30k
5451656,不限,不限,2k-4k
2857336,本科,3-5年,20k-30k
5253335,本科,5-10年,15k-30k
5620063,本科,3-5年,15k-25k
5302213,本科,3-5年,15k-30k
5479849,本科,1-3年,9k-18k
3975218,本科,3-5年,12k-24k
5665505,本科,3-5年,15k-30k
4467010,本科,1-3年,8k-15k
5686704,本科,3-5年,10k-20k
5781438,本科,5-10年,10k-20k
5534114,本科,1-3年,8k-12k
5420145,本科,5-10年,25k-40k
5416597,不限,不限,15k-25k
4957675,本科,1-3年,12k-16k
5494730,本科,3-5年,15k-25k
5645517,本科,3-5年,16k-26k
5470396,大专,1-3年,6k-9k
5779714,本科,3-5年,14k-25k
5482652,本科,1-3年,8k-15k
5755366,本科,3-5年,15k-25k
5532121,本科,3-5年,12k-20k
5203537,本科,3-5年,20k-40k
5645002,本科,1-3年,9k-15k
5644738,本科,3-5年,15k-30k
5335113,本科,1-3年,11k-16k
5737577,本科,3-5年,10k-20k
5702781,本科,1年以下,8k-12k
4967590,本科,3-5年,10k-15k
5781109,本科,不限,15k-25k
5406563,硕士,1-3年,15k-30k
5662282,本科,3-5年,20k-40k
5780722,本科,3-5年,15k-30k
5533861,大专,3-5年,10k-15k
5767740,本科,3-5年,12k-20k
5780165,不限,不限,10k-20k
4765174,本科,3-5年,15k-25k
5706091,本科,3-5年,10k-20k
5779914,本科,3-5年,14k-28k
5456635,本科,3-5年,20k-25k
5407651,硕士,不限,10k-20k
5404966,本科,不限,15k-25k
5237655,本科,1-3年,10k-15k
5075030,本科,1-3年,15k-25k
5744502,不限,1-3年,15k-25k
5304999,本科,3-5年,20k-30k
5768068,大专,1-3年,10k-15k
5084959,硕士,1-3年,20k-30k
5537434,本科,3-5年,10k-20k
5545318,本科,3-5年,20k-40k
5704938,本科,1-3年,10k-20k
5084989,本科,1-3年,5k-9k
5719370,本科,不限,12k-24k
5095446,本科,1-3年,8k-15k
5452870,本科,1-3年,10k-15k
5666110,本科,1-3年,8k-14k
5451827,不限,3-5年,15k-30k
5735565,本科,3-5年,10k-15k
5645952,本科,3-5年,20k-40k
5778984,本科,不限,10k-20k
